Ruanda	4	4,9	30,46181693
Samoa	11,8	11,0	78,24573185
Santa Lúcia	8,8	8,3	78,09560329
São Marino	10,9	10,7	74,8623274
São Tomé e Príncipe	5,6	6,8	51,20409155
São Vicente e Granadinas	10,9	10,7	84,91281395
Seicheles	10,2	10,4	81,59307191
Senegal	1,6	4,5	58,05481906
Serra Leoa	3,5	5,8	18
Sérvia	11,0	11,8	81,16588116
Singapura	11,6	12,3	96,92468156
Sri Lanca	10,8	10,8	44,45308724
Sudão	3,4	4,2	28,4
Sudão do Sul	4,8	6,2	6,5
Suécia	12,8	12,4	94,6703163
Suíça	13,5	14,2	95,56937168
Suriname	9,9	9,6	65,93980141
Tailândia	8,6	8,8	85,26956666
Tajiquistão	10,9	11,8	21,96
Tanzânia 	5,9	6,9	31,63313086
Timor-Leste	4,7	6,2	39,45131242
Togo	3,4	6,8	34,98405528
Tonga	11,5	11,2	71,58657964
Trindade e Tobago	11,7	11,5	79
Tunísia	6,9	8	78,98965145
Turquemenistão	10,9	11,6	21,25099741
Turquia	7,9	9,4	81,40843745
Tuvalu	10,4	10,8	71,58657964
Ucrânia	11,5	10,7	79,21829353
Uganda	4,9	6,7	10,34242044
Uruguai	9,3	8,7	90,07384089
Uzbequistão	11,7	12,1	76,59043014
Venezuela 	11,4	10,8	61,6
Vietname	8,0	8,7	74,20999985
Zâmbia	7,2	7,2	21,23153129
Zimbabué	8,3	9,2	34,81397069
